Date,HOUR_BIN,passenger_count
2018-05-28,20,4224.0
2018-05-29,0,1352.0
2018-05-29,4,2630.0
2018-05-29,8,7212.0
2018-05-29,12,7128.0
2018-05-29,16,8422.0
2018-05-29,20,4314.0
2018-05-30,0,1579.0
2018-05-30,4,2311.0
2018-05-30,8,7284.0
2018-05-30,12,7230.0
2018-05-30,16,8767.0
2018-05-30,20,5290.0
2018-05-31,0,1665.0
2018-05-31,4,2253.0
2018-05-31,8,7559.0
2018-05-31,12,7730.0
2018-05-31,16,9645.0
2018-05-31,20,5484.0
2018-06-01,0,2308.0
2018-06-01,4,2535.0
2018-06-01,8,7620.0
2018-06-01,12,7446.0
2018-06-01,16,10163.0
2018-06-01,20,7290.0
2018-06-02,0,4976.0
2018-06-02,4,1822.0
2018-06-02,8,5642.0
2018-06-02,12,8929.0
2018-06-02,16,9403.0
2018-06-02,20,6940.0
2018-06-03,0,5420.0
2018-06-03,4,1733.0
2018-06-03,8,4483.0
2018-06-03,12,7451.0
2018-06-03,16,7684.0
2018-06-03,20,5041.0
2018-06-04,0,1822.0
2018-06-04,4,2302.0
2018-06-04,8,6887.0
2018-06-04,12,6889.0
2018-06-04,16,8146.0
2018-06-04,20,4361.0
2018-06-05,0,1396.0
2018-06-05,4,2386.0
2018-06-05,8,6934.0
2018-06-05,12,7188.0
2018-06-05,16,8438.0
2018-06-05,20,4761.0
2018-06-06,0,1325.0
2018-06-06,4,2209.0
2018-06-06,8,6835.0
2018-06-06,12,7280.0
2018-06-06,16,9130.0
2018-06-06,20,5187.0
2018-06-07,0,1770.0
2018-06-07,4,2281.0
2018-06-07,8,7119.0
2018-06-07,12,7612.0
2018-06-07,16,9364.0
2018-06-07,20,5686.0
2018-06-08,0,2208.0
2018-06-08,4,2314.0
2018-06-08,8,7178.0
2018-06-08,12,7157.0
2018-06-08,16,10468.0
2018-06-08,20,7309.0
2018-06-09,0,4943.0
2018-06-09,4,2173.0
2018-06-09,8,5504.0
2018-06-09,12,8205.0
2018-06-09,16,9517.0
2018-06-09,20,7204.0
2018-06-10,0,5351.0
2018-06-10,4,1981.0
2018-06-10,8,4414.0
2018-06-10,12,7425.0
2018-06-10,16,7702.0
2018-06-10,20,4226.0
2018-06-11,0,1600.0
2018-06-11,4,2368.0
2018-06-11,8,6736.0
2018-06-11,12,6378.0
2018-06-11,16,7858.0
2018-06-11,20,4214.0
2018-06-12,0,1056.0
2018-06-12,4,2142.0
2018-06-12,8,6588.0
2018-06-12,12,6916.0
2018-06-12,16,8364.0
2018-06-12,20,4971.0
2018-06-13,0,1486.0
2018-06-13,4,2119.0
2018-06-13,8,7239.0
2018-06-13,12,7519.0
2018-06-13,16,8602.0
2018-06-13,20,4945.0
2018-06-14,0,1675.0
2018-06-14,4,2229.0
2018-06-14,8,6960.0
2018-06-14,12,7349.0
2018-06-14,16,9030.0
2018-06-14,20,5389.0
2018-06-15,0,2288.0
